risk_id,finding_id,statement,inherent_score,inherent_rating,residual_score,residual_rating,treatment,owner
risk-019f6c09-e1d2-7a6e-9bc8-00c030a2d21f,finding-019f6c09-e1d2-7a9e-bc86-966c853af928,"Because the assessed configuration or operating evidence did not satisfy the deterministic rule., public rdp rule found may occur, resulting in the control objective may not operate as intended within the assessed scope.",16,HIGH,12,HIGH,MITIGATE,Cloud Owner
risk-019f6c09-e1d2-77a7-882c-fe86312ad4ae,finding-019f6c09-e1d2-796c-9e49-ff888ee48b46,"Because the assessed configuration or operating evidence did not satisfy the deterministic rule., citation failures found may occur, resulting in the control objective may not operate as intended within the assessed scope.",16,HIGH,12,HIGH,MITIGATE,Data Steward
risk-019f6c09-e1d2-7ed9-b062-5bcb3cef9264,finding-019f6c09-e1d2-7c00-9900-b4fd2d84b041,"Because the assessed configuration or operating evidence did not satisfy the deterministic rule., confirmation evidence failed may occur, resulting in the control objective may not operate as intended within the assessed scope.",16,HIGH,12,HIGH,MITIGATE,Application Owner
risk-019f6c09-e1d2-76e0-8101-c817beef4c51,finding-019f6c09-e1d2-799d-96d2-43110939416e,"Because the assessed configuration or operating evidence did not satisfy the deterministic rule., evaluation gate missing may occur, resulting in the control objective may not operate as intended within the assessed scope.",9,MODERATE,6,MODERATE,MITIGATE,AI Evaluation Owner
